country_name,time,value
Tiongkok,Jun-20,0.0001
Hongkong,Jun-20,0
Taiwan,Jun-20,0
Uni Emirat Arab,Jun-20,0
Asia Lainnya,Jun-20,0
Australia,Jun-20,2.83
Meksiko,Jun-20,0
Belanda,Jun-20,0.00003
Amerika Serikat,Jun-20,0.07
Italia,Jun-20,0.23
Jerman,Jun-20,0.0026
Perancis,Jun-20,0
Finlandia,Jun-20,0
Lainnya,Jun-20,0.18015
Malaysia,Jul-20,0
Thailand,Jul-20,0
Singapura,Jul-20,0.22
Vietnam,Jul-20,0
Philipina,Jul-20,0
ASEAN Lainnya,Jul-20,0
Jepang,Jul-20,0.03
Korea Selatan,Jul-20,0
Tiongkok,Jul-20,0.13
Hongkong,Jul-20,0
Taiwan,Jul-20,0
Uni Emirat Arab,Jul-20,0
Asia Lainnya,Jul-20,0
Australia,Jul-20,0
Meksiko,Jul-20,0
Belanda,Jul-20,0
Amerika Serikat,Jul-20,0.0004
Italia,Jul-20,0.1
Jerman,Jul-20,0
Perancis,Jul-20,0
Finlandia,Jul-20,0
